job_title,clean_job_title
Hi-Tech Council Workshop on A Hands-On Approach to Developing,"['hi', 'tech', 'council', 'workshop', 'hand', 'approach', 'develop']"
Web Developer/ Programmer,"['web', 'developer', 'programmer']"
Hi-Tech Council Workshop on A Hands-On Approach to Developing,"['hi', 'tech', 'council', 'workshop', 'hand', 'approach', 'develop']"
Web Designer,"['web', 'designer']"
Volunteers,['volunteer']
Computer Graphic Designer,"['computer', 'graphic', 'designer']"
Accountant,['accountant']
Sales Clerk / Referent,"['sale', 'clerk', 'referent']"
Merchandiser/ Trade Agent/ Marketing Manager,"['merchandiser', 'trade', 'agent', 'marketing', 'manager']"
Administrative Assistant,"['administrative', 'assistant']"
Receptionist,['receptionist']
Security Officer,"['security', 'officer']"
Volunteers,['volunteer']
IREX/IATP Trainer,"['irex', 'iatp', 'trainer']"
Archhitect Designer,"['archhitect', 'designer']"
Private Teacher,"['private', 'teacher']"
Program Coordinator,"['program', 'coordinator']"
"Guard, FSN-3; FP-BB*","['guard', 'fsn', 'fp', 'bb']"
Tester / the Engineer of Quality Assurance (QC Engineer),"['tester', 'engineer', 'quality', 'assurance', 'qc', 'engineer']"
Puppet Director,"['puppet', 'director']"
Java/Web-programmer,"['java', 'web', 'programmer']"
Java-programmer,"['java', 'programmer']"
Accountant,['accountant']
Genocide in the 20th Century: A Comparison of the Armenian and,"['genocide', 'th', 'century', 'comparison', 'armenian']"
Health Coordinator,"['health', 'coordinator']"
Covering Environmental Issues,"['cover', 'environmental', 'issue']"
Practical course for journalists in online journalism,"['practical', 'course', 'journalist', 'online', 'journalism']"
Senior Protection Clerk,"['senior', 'protection', 'clerk']"
Master of Laws - Intercultural Human Rights,"['master', 'law', 'intercultural', 'human', 'right']"
Quality Assurance Group Manager,"['quality', 'assurance', 'group', 'manager']"
Bilateral Diplomacy,"['bilateral', 'diplomacy']"
Quality Assurance Senior Engineer,"['quality', 'assurance', 'senior', 'engineer']"
Quality Assurance Engineer,"['quality', 'assurance', 'engineer']"
Quality Assurance Junior Engineer,"['quality', 'assurance', 'junior', 'engineer']"
Data Base Software Junior Engineer,"['data', 'base', 'software', 'junior', 'engineer']"
Physical Design Software Engineer,"['physical', 'design', 'software', 'engineer']"
Financial Analyst,"['financial', 'analyst']"
Lawyer,['lawyer']
Field Accounting Manager,"['field', 'accounting', 'manager']"
Mechanical Design Engineer,"['mechanical', 'design', 'engineer']"
Global Advocacy Director,"['global', 'advocacy', 'director']"
Programmer,['programmer']
Programmer,['programmer']
Sales & Marketing Specialist,"['sale', 'market', 'specialist']"
Cheif Accountant,"['cheif', 'accountant']"
Local Information Officer,"['local', 'information', 'officer']"
Assistant to Information Point Coordinator in Armenia,"['assistant', 'information', 'point', 'coordinator', 'armenia']"
Programmer,['programmer']
Network Administrator,"['network', 'administrator']"
Senior Democratization Assistant,"['senior', 'democratization', 'assistant']"
"Visa Assistant, FSN-7; FP-07*","['visa', 'assistant', 'fsn', 'fp']"
"Taxation Specialist, Financial Control Department","['taxation', 'specialist', 'financial', 'control', 'department']"
Driver for UNDP 00011256 Project,"['driver', 'undp', 'project']"
Project Assistant,"['project', 'assistant']"
Senior Java Developers,"['senior', 'java', 'developer']"
Web Programmer,"['web', 'programmer']"
ICT Specialist,"['ict', 'specialist']"
Assistant/Associate Professors (5 posts),"['assistant', 'associate', 'professor', 'post']"
Marketing Officer,"['marketing', 'officer']"
Policy Officer,"['policy', 'officer']"
Project Associate,"['project', 'associate']"
Junior Architect,"['junior', 'architect']"
Driver,['driver']
Processing Manager,"['processing', 'manager']"
Chief Accountant,"['chief', 'accountant']"
Principal Assistant to the Head of Office,"['principal', 'assistant', 'head', 'office']"
Junior Internal Auditor,"['junior', 'internal', 'auditor']"
Credit Officer,"['credit', 'officer']"
Secretary/Chancellery Clerk,"['secretary', 'chancellery', 'clerk']"
Accountant/Financial Analyst,"['accountant', 'financial', 'analyst']"
Local Conflict Management consultant,"['local', 'conflict', 'management', 'consultant']"
ASTP Project Specialist,"['astp', 'project', 'specialist']"
European Regional Open Source Conference & Workshop in Armenia,"['european', 'regional', 'open', 'source', 'conference', 'workshop', 'armenia']"
Sales representative,"['sale', 'representative']"
Foreign National Student Intern,"['foreign', 'national', 'student', 'intern']"
Deputy Chief of Party/Targeted Media Loan Division,"['deputy', 'chief', 'party', 'target', 'medium', 'loan', 'division']"
Foreign National Student Intern,"['foreign', 'national', 'student', 'intern']"
Graphic Designer,"['graphic', 'designer']"
Web Designer/ Developer,"['web', 'designer', 'developer']"
Web Designer/ Developer,"['web', 'designer', 'developer']"
Senior Expert  Economic Development Programs,"['senior', 'expert', 'economic', 'development', 'program']"
Alumni Coordinator,"['alumnus', 'coordinator']"
International Banking and Financial Sector Expert,"['international', 'banking', 'financial', 'sector', 'expert']"
Leather and Textile Industry Expert,"['leather', 'textile', 'industry', 'expert']"
Privatization Expert,"['privatization', 'expert']"
Pensions and Social Insurance Expert,"['pension', 'social', 'insurance', 'expert']"
Submitting Announcements Online at careercenter.am,"['submit', 'announcement', 'online', 'careercenter']"
Receptionist,['receptionist']
Head of Corporate Customers Department,"['head', 'corporate', 'customer', 'department']"
Microlending Unit Manager,"['microlending', 'unit', 'manager']"
Unit Lawyer/Administrator,"['unit', 'lawyer', 'administrator']"
Credit Methodology Expert,"['credit', 'methodology', 'expert']"
Microloan Officer,"['microloan', 'officer']"
Project Manager,"['project', 'manager']"
Administrative Assistant/Receptionist,"['administrative', 'assistant', 'receptionist']"
"Country Coordinators Russia, Azerbaijan, Armenia","['country', 'coordinator', 'russia', 'azerbaijan', 'armenia']"
Receptionist,['receptionist']
Manager of Foreign Relations Department,"['manager', 'foreign', 'relation', 'department']"
Senior Expert  Economic Development Programs,"['senior', 'expert', 'economic', 'development', 'program']"
Research Analyst,"['research', 'analyst']"
Procurement Specialist,"['procurement', 'specialist']"
"Escort; FP-BB*, FSN-3","['escort', 'fp', 'bb', 'fsn']"
CEDC Psychologist in Special Institution,"['cedc', 'psychologist', 'special', 'institution']"
Child Protection Programs Technical/Logistics Assistant,"['child', 'protection', 'program', 'technical', 'logistics', 'assistant']"
CEDC Social Worker in Special Institution,"['cedc', 'social', 'worker', 'special', 'institution']"
Software Developer,"['software', 'developer']"
